@relation mushroom-pn
@attribute cap-shape{x,b,s,f,k,c}
@attribute cap-surface{s,y,f,g}
@attribute cap-color{n,y,w,g,e,p,b,u,c,r}
@attribute bruises?{t,f}
@attribute odor{p,a,l,n,f,c,y,s,m}
@attribute gill-attachment{f,a}
@attribute gill-spacing{c,w}
@attribute gill-size{n,b}
@attribute gill-color{k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape{e,t}
@attribute stalk-root{e,c,b,r}
@attribute stalk-surface-above-ring{s,f,k,y}
@attribute stalk-surface-below-ring{s,f,y,k}
@attribute stalk-color-above-ring{w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring{w,p,g,b,n,e,y,o,c}
@attribute veil-type{p}
@attribute veil-color{w,n,o,y}
@attribute ring-number{o,t,n}
@attribute ring-type{p,e,l,f,n}
@attribute spore-print-color{k,n,u,h,w,r,o,y,b}
@attribute population{s,n,a,v,y,c}
@attribute habitat{u,g,m,d,p,w,l}
@attribute y{n,p}
@inputs cap-shape, cap-surface, cap-color, bruises?, odor, gill-attachment, gill-spacing, gill-size, gill-color, stalk-shape, stalk-root, stalk-surface-above-ring, stalk-surface-below-ring, stalk-color-above-ring, stalk-color-below-ring, veil-type, veil-color, ring-number, ring-type, spore-print-color, population, habitat
@outputs y
@data
f,s,e,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,n
f,s,e,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,l,n
f,y,n,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,n
x,s,e,f,s,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,n
f,s,e,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,l,n
f,y,e,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,d,n
f,y,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,n
x,y,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
f,y,n,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
f,s,n,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,n
f,s,n,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,p,n
k,y,e,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
f,s,e,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,n
x,s,e,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,p,n
x,y,e,f,y,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,p,n
f,y,e,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,n
x,y,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,n
f,y,e,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,l,n
f,y,n,f,y,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,d,n
f,y,e,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,n
x,y,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
x,s,e,f,y,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,d,n
f,s,e,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,l,n
f,s,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
x,s,e,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
f,s,e,f,y,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,n
f,s,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
f,s,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,n
f,y,e,f,f,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,d,n
f,y,n,f,s,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
k,s,e,f,f,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,l,n
f,s,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,d,n
f,y,n,f,y,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
f,s,e,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
f,y,e,f,y,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,l,n
x,s,n,f,y,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
k,y,n,f,y,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,p,n
x,y,e,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
x,s,e,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,l,n
x,s,g,f,n,f,w,b,w,e,b,k,s,w,w,p,w,t,p,w,n,g,p
k,y,n,f,y,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
x,s,n,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,p,n
f,s,n,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,n
f,s,n,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
x,s,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,n
f,s,e,f,f,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,l,n
f,y,e,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
f,y,e,f,f,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,p,n
f,s,n,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,l,n
f,s,e,f,f,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,p,n
x,s,n,f,f,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,p,n
f,s,e,f,f,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,l,n
x,s,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
f,s,e,f,y,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,d,n
f,y,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
k,y,e,f,s,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,p,n
f,s,n,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
k,y,e,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,n
f,s,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,n
f,y,e,f,s,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,n
f,s,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,n
b,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,o,o,p,o,c,l,p
x,s,n,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,d,n
f,y,e,f,s,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,l,n
f,y,n,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
f,s,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,d,n
f,y,n,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,n
k,y,n,f,m,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d,n
x,s,e,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,n
f,s,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
k,y,n,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,n
f,s,e,f,f,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
k,s,w,f,n,f,w,b,g,e,b,k,k,w,w,p,w,t,p,w,s,g,p
f,y,n,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
f,y,n,f,y,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,d,n
f,y,n,f,y,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,p,n
f,s,n,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
f,s,n,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,n
f,y,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
x,s,e,f,f,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,n
f,y,n,f,f,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,p,n
x,s,n,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,n
x,s,e,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,n
x,s,e,f,y,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,n
f,y,e,f,y,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
x,s,n,f,y,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
x,s,e,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
f,s,n,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,l,n
x,s,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,l,n
f,y,e,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,n
x,s,n,f,f,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
f,y,e,f,f,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,l,n
f,s,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
f,y,n,f,f,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,l,n
f,y,n,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d,n
x,y,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,d,n
k,f,g,f,n,f,w,b,w,e,b,k,k,w,w,p,w,t,p,w,n,g,p
x,s,e,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,n
k,y,n,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,n
k,y,n,f,s,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,d,n
x,y,e,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
f,s,e,f,f,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,l,n
f,s,n,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
f,s,e,f,s,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,p,n
x,s,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
f,s,n,f,s,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,n
f,y,e,f,s,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,n
x,s,n,f,s,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,l,n
x,y,e,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,n
f,s,e,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,p,n
x,s,n,f,y,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,d,n
f,s,n,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,p,n
x,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,o,o,p,y,v,l,p
k,s,n,f,y,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,p,n
f,s,n,f,y,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,l,n
k,y,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
x,y,c,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p,p
b,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,n,o,p,y,c,l,p
k,s,g,f,n,f,w,b,w,e,b,s,k,w,w,p,w,t,p,w,n,g,p
x,f,g,f,n,f,w,b,g,e,b,s,k,w,w,p,w,t,p,w,s,g,p
x,s,n,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,n
k,y,e,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
x,s,n,f,n,a,c,b,o,e,b,s,s,o,o,p,n,o,p,o,c,l,p
k,s,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,n
b,y,y,f,n,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l,n
x,s,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,n
b,s,g,f,n,f,w,b,g,e,b,k,k,w,w,p,w,t,p,w,n,g,p
k,y,e,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,n
k,s,e,f,s,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,n
f,s,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,n
f,y,n,f,y,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,p,n
f,s,e,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
k,f,g,f,n,f,w,b,w,e,b,s,k,w,w,p,w,t,p,w,s,g,p
k,s,n,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
k,s,e,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,d,n
f,s,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,l,n
b,f,g,f,n,f,w,b,p,e,b,k,k,w,w,p,w,t,p,w,n,g,p
f,y,n,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,n
f,s,n,f,y,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
f,s,n,f,n,a,c,b,o,e,b,s,s,o,o,p,n,o,p,n,c,l,p
x,y,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p,p
f,s,n,f,y,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
k,y,e,f,y,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,l,n
f,s,n,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,l,n
b,s,w,f,n,f,w,b,w,e,b,s,k,w,w,p,w,t,p,w,n,g,p
x,y,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
f,y,e,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
f,s,e,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,l,n
k,y,n,f,f,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,n
x,f,w,f,n,f,w,b,p,e,b,s,s,w,w,p,w,t,p,w,s,g,p
b,s,w,f,n,f,w,b,p,e,b,s,s,w,w,p,w,t,p,w,n,g,p
k,s,e,f,y,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
f,y,n,f,y,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,n
f,y,n,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p,p
k,s,n,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,d,n
k,s,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,l,n
f,y,n,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,l,n
f,y,e,f,m,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d,n
x,s,e,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,n
k,y,e,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
x,s,n,f,s,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,l,n
k,s,e,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
k,y,n,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,l,n
f,y,e,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
x,f,w,f,n,f,w,b,w,e,b,s,s,w,w,p,w,t,p,w,s,g,p
k,s,n,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,n
f,s,n,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,p,n
k,s,e,f,y,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,n
k,s,e,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
k,y,n,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,l,n
k,f,w,f,n,f,w,b,g,e,b,s,s,w,w,p,w,t,p,w,s,g,p
k,s,n,f,f,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
k,y,n,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
k,s,n,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
k,s,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d,n
x,s,n,f,y,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,l,n
x,y,e,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,l,n
f,s,e,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
k,y,n,f,f,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,d,n
b,s,n,f,n,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d,p
f,s,n,f,f,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,p,n
k,y,e,f,f,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,d,n
x,s,n,f,n,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,d,p
f,s,n,f,f,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
k,s,n,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,n
f,y,n,f,s,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,n
x,s,n,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
k,f,w,f,n,f,w,b,w,e,b,s,s,w,w,p,w,t,p,w,s,g,p
f,y,e,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,n
x,s,e,f,y,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,p,n
x,s,n,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,l,n
f,s,n,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
k,s,n,f,y,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
k,s,e,f,f,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
k,s,e,f,s,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,l,n
x,s,e,f,f,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
b,s,n,f,n,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,p,p
k,s,e,f,y,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,p,n
x,s,n,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,p,n
x,y,e,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,p,n
f,s,e,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,l,n
b,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,n,o,p,n,c,l,p
k,s,g,f,n,f,w,b,p,e,b,k,k,w,w,p,w,t,p,w,n,g,p
k,y,e,f,m,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d,n
k,y,e,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,l,n
f,s,e,f,y,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,d,n
k,s,n,f,n,a,c,b,y,e,b,s,s,o,o,p,o,o,p,o,c,l,p
f,y,e,f,s,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
k,y,e,f,s,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,n
k,f,w,f,n,f,w,b,p,e,b,k,s,w,w,p,w,t,p,w,s,g,p
x,s,g,f,n,f,w,b,w,e,b,s,k,w,w,p,w,t,p,w,s,g,p
k,s,n,f,n,a,c,b,y,e,b,s,s,o,o,p,o,o,p,o,v,l,p
k,y,e,f,s,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d,n
k,y,n,f,s,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,l,n
k,s,e,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,p,n
x,s,w,f,n,f,w,b,w,e,b,k,k,w,w,p,w,t,p,w,s,g,p
k,s,w,f,n,f,w,b,g,e,b,k,k,w,w,p,w,t,p,w,n,g,p
k,s,w,f,n,f,w,b,p,e,b,k,s,w,w,p,w,t,p,w,s,g,p
k,s,e,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,l,n
x,s,e,f,s,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,p,n
k,s,g,f,n,f,w,b,w,e,b,s,k,w,w,p,w,t,p,w,s,g,p
x,f,w,f,n,f,w,b,g,e,b,s,k,w,w,p,w,t,p,w,s,g,p
k,y,e,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,d,n
b,s,w,f,n,f,w,b,g,e,b,s,s,w,w,p,w,t,p,w,s,g,p
k,s,e,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
f,s,n,f,f,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,p,n
f,y,n,f,f,f,c,n,b,t,b,s,k,p,p,p,w,o,e,w,v,d,n
k,s,g,f,n,f,w,b,p,e,b,s,k,w,w,p,w,t,p,w,s,g,p
x,s,w,f,n,f,w,b,w,e,b,s,s,w,w,p,w,t,p,w,n,g,p
f,y,e,f,y,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
x,s,e,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d,n
x,f,w,f,n,f,w,b,g,e,b,k,k,w,w,p,w,t,p,w,s,g,p
k,f,w,f,n,f,w,b,g,e,b,k,k,w,w,p,w,t,p,w,n,g,p
f,s,e,f,s,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,d,n
f,s,g,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,v,p,p
k,s,e,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,n
x,s,n,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,p,n
k,s,n,f,n,a,c,b,y,e,b,s,s,o,o,p,n,o,p,b,c,l,p
x,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,o,o,p,n,c,l,p
k,y,e,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,l,n
x,s,e,f,y,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
x,s,n,f,s,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,d,n
k,s,e,f,y,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,d,n
x,s,n,f,y,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,n
k,f,w,f,n,f,w,b,g,e,b,k,s,w,w,p,w,t,p,w,n,g,p
k,s,n,f,n,a,c,b,o,e,b,s,s,o,o,p,n,o,p,n,c,l,p
k,y,c,f,m,f,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d,n
x,f,g,f,n,f,w,b,g,e,b,s,s,w,w,p,w,t,p,w,s,g,p
x,s,n,f,n,a,c,b,n,e,b,s,s,o,o,p,o,o,p,o,v,l,p
x,s,n,f,n,a,c,b,y,e,b,s,s,o,o,p,o,o,p,b,v,l,p
k,y,e,f,s,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,p,n
k,f,w,f,n,f,w,b,p,e,b,s,s,w,w,p,w,t,p,w,n,g,p
x,f,g,f,n,f,w,b,g,e,b,k,s,w,w,p,w,t,p,w,s,g,p
f,s,n,f,n,a,c,b,o,e,b,s,s,o,o,p,o,o,p,n,v,l,p
k,y,n,f,y,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
k,y,n,f,s,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,l,n
f,y,n,f,s,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,n
f,y,e,f,y,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,p,n
k,f,g,f,n,f,w,b,p,e,b,s,k,w,w,p,w,t,p,w,n,g,p
f,y,e,f,s,f,c,n,b,t,b,k,k,w,p,p,w,o,e,w,v,d,n
f,y,n,f,s,f,c,n,b,t,b,k,s,w,p,p,w,o,e,w,v,p,n
k,s,e,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
k,s,g,f,n,f,w,b,w,e,b,k,k,w,w,p,w,t,p,w,s,g,p
b,s,n,f,n,a,c,b,y,e,b,s,s,o,o,p,n,o,p,y,c,l,p
k,y,n,f,f,f,c,n,b,t,b,k,k,w,w,p,w,o,e,w,v,l,n
x,s,n,f,s,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,p,n
b,s,n,f,n,a,c,b,o,e,b,s,s,o,o,p,n,o,p,o,v,l,p
k,s,n,f,y,f,c,n,b,t,b,k,s,w,w,p,w,o,e,w,v,d,n
k,s,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
k,s,e,f,s,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,l,n
f,s,e,f,s,f,c,n,b,t,b,s,s,w,p,p,w,o,e,w,v,p,n
x,s,e,f,s,f,c,n,b,t,b,s,s,p,p,p,w,o,e,w,v,p,n
x,s,e,f,y,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,d,n
x,s,n,f,s,f,c,n,b,t,b,s,s,p,w,p,w,o,e,w,v,d,n
k,y,n,f,y,f,c,n,b,t,b,s,k,w,w,p,w,o,e,w,v,d,n
x,s,p,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p,p
f,s,e,f,y,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,n
x,y,n,f,m,a,c,b,w,e,c,k,y,c,c,p,w,n,n,w,c,d,n
k,s,n,f,f,f,c,n,b,t,b,s,s,w,w,p,w,o,e,w,v,l,n
k,s,g,f,n,f,w,b,g,e,b,k,k,w,w,p,w,t,p,w,s,g,p
k,s,n,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
f,y,n,f,y,f,c,n,b,t,b,k,k,p,w,p,w,o,e,w,v,p,n
k,s,n,f,s,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,p,n
k,y,e,f,y,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,d,n
f,y,e,f,f,f,c,n,b,t,b,k,s,p,w,p,w,o,e,w,v,d,n
f,s,c,t,n,f,c,b,w,e,b,s,s,w,w,p,w,t,p,w,y,p,p
f,y,n,f,f,f,c,n,b,t,b,s,k,p,w,p,w,o,e,w,v,l,n
k,s,e,f,f,f,c,n,b,t,b,s,k,w,p,p,w,o,e,w,v,d,n
x,s,e,f,y,f,c,n,b,t,b,k,s,p,p,p,w,o,e,w,v,l,n
f,y,e,f,y,f,c,n,b,t,b,k,k,p,p,p,w,o,e,w,v,l,n
